ID,Exercise,Short YouTube Demonstration,In-Depth YouTube Explanation,Difficulty Level,Target Muscle Group ,Prime Mover Muscle,Secondary Muscle,Tertiary Muscle,Primary Equipment ,# Primary Items,Secondary Equipment,# Secondary Items,Posture,Single or Double Arm,Continuous or Alternating Arms ,Grip,Load Position (Ending),Foot Elevation,Combination Exercises,Movement Pattern #1,Movement Pattern #2,Movement Pattern #3,Plane Of Motion #1,Plane Of Motion #2,Plane Of Motion #3,Body Region,Force Type,Mechanics,Laterality,Primary Exercise Classification
86,Miniband Side Lying Clamshell,Video Demonstration,Video Explanation,Beginner,Glutes,Gluteus Maximus,Gluteus Medius,Gluteus Minimus,Miniband,1.0,None,0,Side Lying,No Arms,Continuous,No Grip,No Load,No Elevation,Single Exercise,Hip External Rotation,,,Transverse Plane,,,Lower Body,Other,Isolation,Unilateral,Bodybuilding
87,Miniband Ankle Side Lying Hip Abduction,Video Demonstration,,Beginner,Abductors,Gluteus Medius,Gluteus Minimus,Tensor Fasciae Latae,Miniband,1.0,None,0,Side Lying,No Arms,Continuous,No Grip,No Load,No Elevation,Single Exercise,Hip Abduction,,,Frontal Plane,,,Lower Body,Other,Isolation,Unilateral,Bodybuilding
88,Miniband Bench Seated Hip Abduction,Video Demonstration,,Beginner,Abductors,Gluteus Medius,Gluteus Minimus,Tensor Fasciae Latae,Miniband,1.0,Bench (Flat),1,Seated,No Arms,Continuous,No Grip,No Load,No Elevation,Single Exercise,Hip Abduction,,,Transverse Plane,,,Lower Body,Other,Isolation,Bilateral,Bodybuilding
89,Miniband Glute Bridge with Hip Abduction,Video Demonstration,,Beginner,Glutes,Gluteus Maximus,Gluteus Medius,,Miniband,1.0,None,0,Bridge,No Arms,Continuous,No Grip,No Load,No Elevation,Single Exercise,Hip Extension,Hip Abduction,,Sagittal Plane,Transverse Plane,,Lower Body,Other,Compound,Bilateral,Bodybuilding
90,Stability Ball Hip Thrust,Video Demonstration,Video Explanation,Beginner,Glutes,Gluteus Maximus,,,Stability Ball,1.0,None,0,Bridge,No Arms,Continuous,No Grip,No Load,No Elevation,Single Exercise,Hip Extension,,,Sagittal Plane,,,Lower Body,Unsorted*,Compound,Bilateral,Bodybuilding
91,Stability Ball Dumbbell Hip Thrust,Video Demonstration,,Beginner,Glutes,Gluteus Maximus,,,Stability Ball,1.0,Dumbbell,1,Bridge,Double Arm,Continuous,Neutral,Hip Crease,No Elevation,Single Exercise,Hip Extension,,,Sagittal Plane,,,Lower Body,Unsorted*,Compound,Bilateral,Bodybuilding
92,Bodyweight Frog Pump,Video Demonstration,Video Explanation,Beginner,Glutes,Gluteus Maximus,,,Bodyweight,1.0,None,0,Bridge,No Arms,Continuous,No Grip,No Load,No Elevation,Single Exercise,Hip Extension,,,Sagittal Plane,,,Lower Body,Unsorted*,Compound,Bilateral,Unsorted*
93,Dumbbell Frog Pump,Video Demonstration,Video Explanation,Beginner,Glutes,Gluteus Maximus,,,Dumbbell,1.0,None,0,Bridge,Double Arm,Continuous,Neutral,Hip Crease,No Elevation,Single Exercise,Hip Extension,,,Sagittal Plane,,,Lower Body,Unsorted*,Compound,Bilateral,Unsorted*
94,Cable Glute Kickback,Video Demonstration,Video Explanation,Novice,Glutes,Gluteus Maximus,,,Cable,1.0,None,0,Standing,No Arms,Continuous,Hand Assisted,Other,No Elevation,Single Exercise,Hip Extension,,,Sagittal Plane,,,Lower Body,Unsorted*,Isolation,Unilateral,Bodybuilding
95,Bodyweight Single Leg Foot Elevated Glute Bridge,Video Demonstration,Video Explanation,Novice,Glutes,Gluteus Maximus,,,Bodyweight,1.0,None,0,Single Leg Bridge,No Arms,Continuous,No Grip,No Load,Foot Elevated,Single Exercise,Hip Extension,,,Sagittal Plane,,,Lower Body,Unsorted*,Compound,Unilateral,Bodybuilding
96,Suspension Feet Elevated Glute Bridge,Video Demonstration,Video Explanation,Novice,Glutes,Gluteus Maximus,,,Suspension Trainer,1.0,None,0,Bridge,No Arms,Continuous,No Grip,No Load,Feet Elevated,Single Exercise,Hip Extension,,,Sagittal Plane,,,Lower Body,Unsorted*,Compound,Bilateral,Bodybuilding
97,Miniband Thigh Lateral Walk,Video Demonstration,Video Explanation,Beginner,Abductors,Gluteus Medius,Gluteus Minimus,Tensor Fasciae Latae,Miniband,1.0,None,0,Walking,No Arms,Continuous,No Grip,No Load,No Elevation,Single Exercise,Hip Abduction,,,Frontal Plane,,,Lower Body,Other,Compound,Unilateral,Bodybuilding
98,Miniband Ankle Lateral Walk,Video Demonstration,Video Explanation,Novice,Abductors,Gluteus Medius,Gluteus Minimus,Tensor Fasciae Latae,Miniband,1.0,None,0,Walking,No Arms,Continuous,No Grip,No Load,No Elevation,Single Exercise,Hip Abduction,,,Frontal Plane,,,Lower Body,Other,Compound,Unilateral,Bodybuilding
99,Miniband Feet Lateral Walk,Video Demonstration,Video Explanation,Intermediate,Abductors,Gluteus Medius,Gluteus Minimus,Tensor Fasciae Latae,Miniband,1.0,None,0,Walking,No Arms,Continuous,No Grip,No Load,No Elevation,Single Exercise,Hip Abduction,,,Frontal Plane,,,Lower Body,Other,Compound,Unilateral,Bodybuilding
100,Miniband Standing Glute Kickback,Video Demonstration,Video Explanation,Novice,Glutes,Gluteus Maximus,,,Miniband,1.0,None,0,Standing,No Arms,Continuous,Hand Assisted,No Load,No Elevation,Single Exercise,Hip Extension,,,Sagittal Plane,,,Lower Body,Unsorted*,Isolation,Unilateral,Bodybuilding
101,Barbell Hip Thrust,Video Demonstration,Video Explanation,Novice,Glutes,Gluteus Maximus,,,Barbell,1.0,Bench (Flat),1,Bridge,Double Arm,Continuous,Pronated,Hip Crease,No Elevation,Single Exercise,Hip Extension,,,Sagittal Plane,,,Lower Body,Unsorted*,Compound,Bilateral,Bodybuilding
102,Barbell Single Leg Hip Thrust,Video Demonstration,,Intermediate,Glutes,Gluteus Maximus,,,Barbell,1.0,Bench (Flat),1,Single Leg Bridge,Double Arm,Continuous,Pronated,Hip Crease,No Elevation,Single Exercise,Hip Extension,,,Sagittal Plane,,,Lower Body,Unsorted*,Compound,Unilateral,Bodybuilding
103,Stability Ball Single Leg Foot Elevated Glute Bridge,Video Demonstration,,Intermediate,Glutes,Gluteus Maximus,,,Stability Ball,1.0,None,0,Single Leg Bridge,No Arms,Continuous,No Grip,No Load,Foot Elevated,Single Exercise,Hip Extension,,,Sagittal Plane,,,Lower Body,Unsorted*,Compound,Unilateral,Bodybuilding
104,Miniband Standing Hip Abduction,Video Demonstration,,Novice,Abductors,Gluteus Medius,Gluteus Minimus,Tensor Fasciae Latae,Miniband,1.0,None,0,Standing,No Arms,Continuous,Hand Assisted,No Load,No Elevation,Single Exercise,Hip Abduction,,,Frontal Plane,,,Lower Body,Other,Isolation,Bilateral,Bodybuilding
105,Miniband 3-Way Cha Cha,Video Demonstration,,Beginner,Abductors,Gluteus Medius,Gluteus Minimus,Tensor Fasciae Latae,Miniband,1.0,None,0,Standing,No Arms,Continuous,No Grip,No Load,No Elevation,Single Exercise,Hip Abduction,Hip Extension,,Frontal Plane,,,Lower Body,Other,Compound,Unilateral,Bodybuilding
106,Slider Single Arm Kettlebell Suitcase Contralateral Reverse Lunge,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders,1.0,Kettlebell ,1,Standing,Single Arm,Continuous,Neutral,Suitcase,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding
107,Cable Hip Abduction,Video Demonstration,Video Explanation,Novice,Abductors,Gluteus Medius,Gluteus Minimus,Tensor Fasciae Latae,Cable,1.0,None,0,Standing,No Arms,Continuous,Hand Assisted,Other,No Elevation,Single Exercise,Hip Abduction,,,Frontal Plane,,,Lower Body,Other,Isolation,Unilateral,Unsorted*
108,Miniband Wall Sit Hip Abduction,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Medius,,Miniband,1.0,None,0,Wall Sit,No Arms,Continuous,No Grip,No Load,No Elevation,Single Exercise,Hip Abduction,,,Frontal Plane,,,Lower Body,Other,Compound,Bilateral,Unsorted*
109,Slider Barbell Overhead Lateral Lunge,,,Advanced,Adductors,Adductor Magnus,,,Sliders,1.0,Barbell,1,Standing,Double Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Hip Adduction,,,Frontal Plane,,,Lower Body,Other,Compound,Unilateral,Bodybuilding
110,Stability Ball T's Y's I's ,Video Demonstration,Video Explanation,Beginner,Shoulders,Posterior Deltoids,,,Stability Ball,1.0,None,0,Prone,Double Arm,Continuous,No Grip,No Load,No Elevation,Single Exercise,Horizontal Pull,,,Frontal Plane,,,Upper Body,Pull,Isolation,Bilateral,Postural
111,Resistance Band Reverse Fly,Video Demonstration,Video Explanation,Beginner,Shoulders,Posterior Deltoids,,,Resistance Band,1.0,None,0,Standing,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Horizontal Pull,,,Frontal Plane,,,Upper Body,Pull,Isolation,Bilateral,Unsorted*
112,Resistance Band Lateral Raise,Video Demonstration,,Beginner,Shoulders,Medial Deltoids,,,Resistance Band,1.0,None,0,Standing,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Shoulder Abduction,,,Frontal Plane,,,Upper Body,Push,Isolation,Bilateral,Bodybuilding
113,Double Dumbbell Lateral Raise,Video Demonstration,Video Explanation,Beginner,Shoulders,Medial Deltoids,,,Dumbbell,2.0,None,0,Standing,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Shoulder Abduction,,,Frontal Plane,,,Upper Body,Push,Isolation,Bilateral,Bodybuilding
114,Single Arm Resistance Band Standing Shoulder External Rotation,,Video Explanation,Beginner,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Resistance Band,1.0,None,0,Standing,Single Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Shoulder External Rotation,,,Transverse Plane,,,Upper Body,Pull,Isolation,Unilateral,Unsorted*
115,Double Dumbbell Seated Lateral Raise,Video Demonstration,Video Explanation,Beginner,Shoulders,Medial Deltoids,,,Dumbbell,2.0,Bench (Flat),1,Seated,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Shoulder Abduction,,,Frontal Plane,,,Upper Body,Push,Isolation,Bilateral,Bodybuilding
116,Bodyweight Pike Push Up,Video Demonstration,Video Explanation,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Bodyweight,1.0,None,0,Inverted,Double Arm,Continuous,Flat Palm,No Load,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics
117,Single Arm Dumbbell Side Lying Shoulder External Rotation,Video Demonstration,Video Explanation,Beginner,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Dumbbell,1.0,None,0,Side Lying,Single Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Shoulder External Rotation,,,Transverse Plane,,,Upper Body,Pull,Isolation,Unilateral,Unsorted*
118,Single Arm Dumbbell Seated Shoulder External Rotation,Video Demonstration,Video Explanation,Novice,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Dumbbell,1.0,Bench (Flat),1,Seated,Single Arm,Continuous,Pronated,Other,No Elevation,Single Exercise,Shoulder External Rotation,,,Transverse Plane,,,Upper Body,Pull,Isolation,Unilateral,Unsorted*
119,Miniband Standing Shoulder External Rotation,Video Demonstration,Video Explanation,Beginner,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Miniband,1.0,None,0,Standing,Double Arm,Continuous,Neutral,No Load,No Elevation,Single Exercise,Shoulder External Rotation,,,Transverse Plane,,,Upper Body,Pull,Isolation,Bilateral,Unsorted*
120,Double Dumbbell Seated Cuban Rotation,Video Demonstration,Video Explanation,Novice,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Dumbbell,2.0,Bench (Flat),1,Seated,Double Arm,Continuous,Pronated,Other,No Elevation,Single Exercise,Shoulder External Rotation,,,Transverse Plane,,,Upper Body,Pull,Isolation,Bilateral,Unsorted*
121,Double Dumbbell Standing Cuban Rotation,Video Demonstration,,Novice,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Dumbbell,2.0,None,0,Standing,Double Arm,Continuous,Pronated,Other,No Elevation,Single Exercise,Shoulder External Rotation,,,Transverse Plane,,,Upper Body,Pull,Isolation,Bilateral,Unsorted*
122,Single Arm Cable Half Kneeling Contralateral Shoulder External Rotation 90 Degrees,Video Demonstration,Video Explanation,Novice,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Cable,1.0,None,0,Half Kneeling,Single Arm,Continuous,Pronated,Other,No Elevation,Single Exercise,Shoulder External Rotation,,,Transverse Plane,,,Upper Body,Pull,Isolation,Unilateral,Unsorted*
123,Single Arm Dumbbell Side Lying Shoulder Internal Rotation,,Video Explanation,Beginner,Shoulders,Subscapularis ,Teres Major,,Dumbbell,1.0,None,0,Side Lying,Single Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Shoulder Internal Rotation,,,Transverse Plane,,,Upper Body,Unsorted*,Isolation,Unilateral,Unsorted*
124,Parallette Feet Elevated Pike Push Up ,Video Demonstration,,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Parallette Bars,2.0,Bench (Flat),1,Inverted,Double Arm,Continuous,Neutral,No Load,Feet Elevated,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics
125,Barbell Thruster,Video Demonstration,Video Explanation,Intermediate,Shoulders,Anterior Deltoids,Quadriceps Femoris,,Barbell,1.0,None,0,Standing,Double Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Vertical Push,Knee Dominant,,Sagittal Plane,,,Full Body,Push,Compound,Bilateral,Bodybuilding
126,Parallette Wall Supported Handstand Push Up,,,Expert,Shoulders,Anterior Deltoids,Triceps Brachii,,Parallette Bars,2.0,None,0,Inverted,Double Arm,Continuous,Neutral,No Load,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics
127,Barbell Sots Press,Video Demonstration,Video Explanation,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Barbell,1.0,None,0,Other,Double Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding
128,Single Arm Dumbbell V Sit Overhead Press ,Video Demonstration,,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,Rectus Abdominis ,Dumbbell,1.0,None,0,V Sit Seated,Single Arm,Continuous,Neutral,Overhead,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding
129,Double Dumbbell Z Press,Video Demonstration,Video Explanation,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,,Dumbbell,2.0,None,0,Seated Floor,Double Arm,Continuous,Neutral,Overhead,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding
130,Single Arm Dumbbell Z Press,Video Demonstration,,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Dumbbell,1.0,None,0,Seated Floor,Single Arm,Continuous,Neutral,Overhead,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding
131,Stability Ball Double Dumbbell Seated Arnold Press,Video Demonstration,,Beginner,Shoulders,Anterior Deltoids,Triceps Brachii,,Stability Ball,1.0,Dumbbell,2,Seated,Double Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Unsorted*
132,Single Arm Dumbbell Half Kneeling Contralateral Overhead Press,Video Demonstration,,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,Rectus Abdominis ,Dumbbell,1.0,None,0,Half Kneeling,Single Arm,Continuous,Neutral,Overhead,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Contralateral,Bodybuilding
133,Single Arm Cable Lateral Raise,Video Demonstration,Video Explanation,Beginner,Shoulders,Medial Deltoids,,,Cable,1.0,None,0,Standing,Single Arm,Continuous,Pronated,Other,No Elevation,Single Exercise,Shoulder Abduction,,,Frontal Plane,,,Upper Body,Push,Isolation,Unilateral,Bodybuilding
134,Double Dumbbell Thruster,Video Demonstration,Video Explanation,Novice,Shoulders,Anterior Deltoids,Quadriceps Femoris,,Dumbbell,2.0,None,0,Standing,Double Arm,Continuous,Neutral,Overhead,No Elevation,Single Exercise,Vertical Push,Knee Dominant,,Sagittal Plane,,,Full Body,Push,Compound,Bilateral,Bodybuilding
135,Single Arm Dumbbell Thruster,Video Demonstration,Video Explanation,Novice,Shoulders,Anterior Deltoids,Quadriceps Femoris,,Dumbbell,1.0,None,0,Standing,Single Arm,Continuous,Neutral,Overhead,No Elevation,Single Exercise,Vertical Push,Knee Dominant,,Sagittal Plane,,,Full Body,Push,Compound,Unilateral,Bodybuilding
136,Parallette Freestanding Handstand Push Up,Video Demonstration,,Master,Shoulders,Anterior Deltoids,Triceps Brachii,,Parallette Bars,2.0,None,0,Inverted,Double Arm,Continuous,Neutral,No Load,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics
137,Double Dumbbell Seated Overhead Press,Video Demonstration,,Beginner,Shoulders,Anterior Deltoids,Triceps Brachii,,Dumbbell,2.0,Bench (Flat),1,Seated,Double Arm,Continuous,Neutral,Overhead,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding
138,Double Dumbbell Overhead Press,Video Demonstration,Video Explanation,Beginner,Shoulders,Anterior Deltoids,Triceps Brachii,,Dumbbell,2.0,None,0,Standing,Double Arm,Continuous,Neutral,Overhead,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding
139,Single Arm Dumbbell Overhead Carry,Video Demonstration,,Intermediate,Shoulders,Anterior Deltoids,Obliques,,Dumbbell,1.0,None,0,Walking,Single Arm,Continuous,Neutral,Overhead,No Elevation,Single Exercise,Loaded Carry,,,Sagittal Plane,,,Full Body,Other,Compound,Unilateral,Unsorted*
140,Bodyweight Freestanding Handstand Push Up,Video Demonstration,Video Explanation,Master,Shoulders,Anterior Deltoids,Triceps Brachii,,Bodyweight,1.0,None,0,Inverted,Double Arm,Continuous,Flat Palm,No Load,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics
141,Barbell Shrug,,Video Explanation,Novice,Trapezius,Upper Trapezius,,,Barbell,1.0,None,0,Standing,Double Arm,Continuous,Pronated,Other,No Elevation,Single Exercise,Scapular Elevation,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
142,Double Dumbbell Shrug,Video Demonstration,Video Explanation,Beginner,Trapezius,Upper Trapezius,,,Dumbbell,2.0,None,0,Standing,Double Arm,Continuous,Neutral,Suitcase,No Elevation,Single Exercise,Scapular Elevation,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
143,Cable Face Pull,Video Demonstration,Video Explanation,Novice,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Cable,1.0,None,0,Standing,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Shoulder External Rotation,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Unsorted*
144,Cable Seated Face Pull,Video Demonstration,,Novice,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Cable,1.0,None,0,Seated Floor,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Shoulder External Rotation,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Unsorted*
145,Double Dumbbell Standing Scaption,Video Demonstration,Video Explanation,Beginner,Shoulders,Serratus Anterior,,,Dumbbell,2.0,None,0,Standing,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Shoulder Scapular Plane Elevation,,,,,,Upper Body,Unsorted*,Isolation,Bilateral,Unsorted*
146,Double Dumbbell Seated Scaption,Video Demonstration,,Beginner,Shoulders,Serratus Anterior,,,Dumbbell,2.0,Bench (Flat),1,Seated,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Shoulder Scapular Plane Elevation,,,,,,Upper Body,Unsorted*,Isolation,Bilateral,Unsorted*
147,Stability Ball Double Dumbbell Seated Scaption,Video Demonstration,,Beginner,Shoulders,Serratus Anterior,,,Stability Ball,1.0,Dumbbell,2,Seated,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Shoulder Scapular Plane Elevation,,,,,,Upper Body,Unsorted*,Isolation,Bilateral,Unsorted*
148,Cable Single Leg Standing Bent Knee Hip External Rotation,Video Demonstration,,Novice,Glutes,Gluteus Maximus,Gluteus Medius,Gluteus Minimus,Cable,1.0,None,0,Single Leg Standing Bent Knee,No Arms,Continuous,Hand Assisted,Other,No Elevation,Single Exercise,Hip External Rotation,,,Transverse Plane,,,Lower Body,Other,Isolation,Unilateral,Unsorted*
149,Cable Hip External Rotation,Video Demonstration,,Novice,Glutes,Gluteus Maximus,Gluteus Medius,Gluteus Minimus,Cable,1.0,None,0,Standing,No Arms,Continuous,Neutral,Other,No Elevation,Single Exercise,Hip External Rotation,,,Transverse Plane,,,Lower Body,Other,Isolation,Bilateral,Unsorted*
150,Alternating Double Dumbbell Bicep Curl,Video Demonstration,Video Explanation,Beginner,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Dumbbell,2.0,None,0,Standing,Double Arm,Alternating,Supinated,Other,No Elevation,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Unilateral,Bodybuilding
